[2022-08-23 17:51:36.8173] | Info | [2022/8/23 17:51:36]: 配置信息加载完成... 
[2022-08-23 17:51:36.8795] | Info | [2022/8/23 17:51:36]: 服务已启动成功... 
[2022-08-23 17:51:36.8799] | Info | [2022/8/23 17:51:36]: 欢迎使用翎风系列游戏软件... 
[2022-08-23 17:51:36.8799] | Info | [2022/8/23 17:51:36]: 网站:http://www.gameofmir.com 
[2022-08-23 17:51:36.8799] | Info | [2022/8/23 17:51:36]: 论坛:http://bbs.gameofmir.com 
[2022-08-23 17:51:36.8799] | Info | [2022/8/23 17:51:36]: 智能反外挂程序已启动... 
[2022-08-23 17:51:36.8799] | Info | [2022/8/23 17:51:36]: 智能反外挂程序云端已连接... 
[2022-08-23 17:51:36.8799] | Info | [2022/8/23 17:51:36]: 网关[10.10.0.102:7200]已启动... 
[2022-08-23 17:51:36.8799] | Info | [2022/8/23 17:51:36]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-23 17:51:36.8799] | Debug | [2022/8/23 17:51:36]: 线程[2472be441a29449b9bde336fcc38770d]连接 10.10.0.102:5000 成功... 
[2022-08-23 17:51:36.8799] | Debug | [2022/8/23 17:51:36]: 消息消费线程[9b76b650998745648f99688ef22b790b]已启动. 
[2022-08-23 17:51:36.8799] | Debug | [2022/8/23 17:51:36]: 消息消费线程[274f8644d46d48d091b1abac304bcfc7]已启动. 
[2022-08-23 17:51:49.6658] | Debug | [2022/8/23 17:51:49]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:49.6658] | Debug | [2022/8/23 17:51:49]: Login Packet: ^^WqmnXplmQo`_WxmnXplmQo`_Zh_aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:51:50.5742] | Debug | [2022/8/23 17:51:50]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:50.5742] | Debug | [2022/8/23 17:51:50]: Login Packet: ^^WqmnXplmQoa_WxmnXplmQoa_[h_aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:51:51.6065] | Debug | [2022/8/23 17:51:51]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:51.6067] | Debug | [2022/8/23 17:51:51]: Login Packet: ^^WqmnXplmQob_WxmnXplmQob_Th_aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:51:52.6173] | Debug | [2022/8/23 17:51:52]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:52.6173] | Debug | [2022/8/23 17:51:52]: Login Packet: ^^WqmnXplmQoc_WxmnXplmQoc_Uh_aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:51:53.6272] | Debug | [2022/8/23 17:51:53]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:53.6272] | Debug | [2022/8/23 17:51:53]: Login Packet: ^^WqmnXplmQo`_WtmnXplmQo`_Vd_aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:51:54.6134] | Debug | [2022/8/23 17:51:54]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:54.6137] | Debug | [2022/8/23 17:51:54]: Login Packet: ^^WqmnXplmQoa_WtmnXplmQoa_Wd_aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:51:55.6253] | Debug | [2022/8/23 17:51:55]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:55.6253] | Debug | [2022/8/23 17:51:55]: Login Packet: ^^WqmnXplmQob_WtmnXplmQob_Pd_aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:51:56.6290] | Debug | [2022/8/23 17:51:56]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:56.6290] | Debug | [2022/8/23 17:51:56]: Login Packet: ^^WqmnXplmQoc_WtmnXplmQoc_Qd_aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:51:56.7335] | Debug | [2022/8/23 17:51:56]: 清理超时会话开始工作... 
[2022-08-23 17:51:56.7337] | Debug | [2022/8/23 17:51:56]: 清理超时会话工作完成... 
[2022-08-23 17:51:57.6496] | Debug | [2022/8/23 17:51:57]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:57.6496] | Debug | [2022/8/23 17:51:57]: Login Packet: ^^WqmnXplmQo`_WpmnXplmQo`_Y``_Yhb`Xk``Qga`?ib`Zkb`Pk`cXk`? 
[2022-08-23 17:51:58.6788] | Debug | [2022/8/23 17:51:58]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:58.6788] | Debug | [2022/8/23 17:51:58]: Login Packet: ^^WqmnXplmQoa_WpmnXplmQoa_Y`a_Yhb`Xk``Qga`?ib`Zkb`Pk`cXk`? 
[2022-08-23 17:51:59.6922] | Debug | [2022/8/23 17:51:59]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:51:59.6922] | Debug | [2022/8/23 17:51:59]: Login Packet: ^^WqmnXplmQoa`?ksm>uplIxqaXc_aZ__aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:52:00.6719] | Debug | [2022/8/23 17:52:00]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:52:00.6719] | Debug | [2022/8/23 17:52:00]: Login Packet: ^^WqmnXplmQoaa?ksm>uplIxqaYc_a[__aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:52:01.6804] | Debug | [2022/8/23 17:52:01]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:52:01.6804] | Debug | [2022/8/23 17:52:01]: Login Packet: ^^WqmnXplmQoab?ksm>uplIxqaZc_aT__aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:52:02.6994] | Debug | [2022/8/23 17:52:02]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
[2022-08-23 17:52:02.6996] | Debug | [2022/8/23 17:52:02]: Login Packet: ^^WqmnXplmQoac?ksm>uplIxqa[c_aU__aZ_``Tk`aYi`_Z``bZk``Xic`Xk 
[2022-08-23 17:52:03.7083] | Debug | [2022/8/23 17:52:03]: 用户[10.10.0.102]分配到游戏数据服务器[b1ee282573004acda707479a665834c0] Server:10.10.0.102:5000 
