[2022-08-22 15:21:50.8896] | Info | [2022/8/22 15:21:50]: 配置信息加载完成... 
[2022-08-22 15:21:50.9063] | Info | [2022/8/22 15:21:50]: 服务已启动成功... 
[2022-08-22 15:21:50.9063] | Info | [2022/8/22 15:21:50]: 欢迎使用翎风系列游戏软件... 
[2022-08-22 15:21:50.9063] | Info | [2022/8/22 15:21:50]: 网站:http://www.gameofmir.com 
[2022-08-22 15:21:50.9063] | Info | [2022/8/22 15:21:50]: 论坛:http://bbs.gameofmir.com 
[2022-08-22 15:21:50.9063] | Info | [2022/8/22 15:21:50]: 智能反外挂程序已启动... 
[2022-08-22 15:21:50.9063] | Info | [2022/8/22 15:21:50]: 智能反外挂程序云端已连接... 
[2022-08-22 15:21:50.9288] | Info | [2022/8/22 15:21:50]: 网关[10.10.0.102:7200]已启动... 
[2022-08-22 15:21:50.9288] | Info | [2022/8/22 15:21:50]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-22 15:21:50.9288] | Debug | [2022/8/22 15:21:50]: 线程[823a766a46904a9eae30b879920613d8]连接 10.10.0.102:5000 成功... 
[2022-08-22 15:21:50.9288] | Debug | [2022/8/22 15:21:50]: 消息消费线程[cf6a450f70a84475884a8a8dfc082d0b]已启动. 
[2022-08-22 15:21:50.9292] | Debug | [2022/8/22 15:21:50]: 消息消费线程[60812ef9bc394301a54ffaee987093e1]已启动. 
[2022-08-22 15:22:10.8200] | Debug | [2022/8/22 15:22:10]: 清理超时会话开始工作... 
[2022-08-22 15:22:10.8202] | Debug | [2022/8/22 15:22:10]: 清理超时会话工作完成... 
[2022-08-22 15:22:30.8225] | Debug | [2022/8/22 15:22:30]: 清理超时会话开始工作... 
[2022-08-22 15:22:30.8225] | Debug | [2022/8/22 15:22:30]: 清理超时会话工作完成... 
[2022-08-22 15:22:50.8256] | Debug | [2022/8/22 15:22:50]: 清理超时会话开始工作... 
[2022-08-22 15:22:50.8256] | Debug | [2022/8/22 15:22:50]: 清理超时会话工作完成... 
[2022-08-22 15:23:10.8335] | Debug | [2022/8/22 15:23:10]: 清理超时会话开始工作... 
[2022-08-22 15:23:10.8335] | Debug | [2022/8/22 15:23:10]: 清理超时会话工作完成... 
[2022-08-22 15:23:30.8404] | Debug | [2022/8/22 15:23:30]: 清理超时会话开始工作... 
[2022-08-22 15:23:30.8404] | Debug | [2022/8/22 15:23:30]: 清理超时会话工作完成... 
[2022-08-22 15:23:44.8834] | Info | [2022/8/22 15:23:44]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]断开链接. 
[2022-08-22 15:25:23.3808] | Info | [2022/8/22 15:25:23]: 配置信息加载完成... 
[2022-08-22 15:25:23.3965] | Info | [2022/8/22 15:25:23]: 服务已启动成功... 
[2022-08-22 15:25:23.3965] | Info | [2022/8/22 15:25:23]: 欢迎使用翎风系列游戏软件... 
[2022-08-22 15:25:23.3965] | Info | [2022/8/22 15:25:23]: 网站:http://www.gameofmir.com 
[2022-08-22 15:25:23.3965] | Info | [2022/8/22 15:25:23]: 论坛:http://bbs.gameofmir.com 
[2022-08-22 15:25:23.3965] | Info | [2022/8/22 15:25:23]: 智能反外挂程序已启动... 
[2022-08-22 15:25:23.3965] | Info | [2022/8/22 15:25:23]: 智能反外挂程序云端已连接... 
[2022-08-22 15:25:23.4181] | Info | [2022/8/22 15:25:23]: 网关[10.10.0.102:7200]已启动... 
[2022-08-22 15:25:23.4182] | Info | [2022/8/22 15:25:23]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-22 15:25:23.4182] | Debug | [2022/8/22 15:25:23]: 线程[527f704ff7b74ba8951c38e17650c22e]连接 10.10.0.102:5000 成功... 
[2022-08-22 15:25:23.4182] | Debug | [2022/8/22 15:25:23]: 消息消费线程[2659612013c3431999df67948a6c2dcd]已启动. 
[2022-08-22 15:25:23.4182] | Debug | [2022/8/22 15:25:23]: 消息消费线程[c26330ed8ee34ac197fbc7236cbfcfb7]已启动. 
[2022-08-22 15:25:43.2966] | Debug | [2022/8/22 15:25:43]: 清理超时会话开始工作... 
[2022-08-22 15:25:43.2966] | Debug | [2022/8/22 15:25:43]: 清理超时会话工作完成... 
[2022-08-22 15:26:03.2993] | Debug | [2022/8/22 15:26:03]: 清理超时会话开始工作... 
[2022-08-22 15:26:03.2993] | Debug | [2022/8/22 15:26:03]: 清理超时会话工作完成... 
[2022-08-22 15:26:23.3077] | Debug | [2022/8/22 15:26:23]: 清理超时会话开始工作... 
[2022-08-22 15:26:23.3083] | Debug | [2022/8/22 15:26:23]: 清理超时会话工作完成... 
[2022-08-22 15:26:43.3129] | Debug | [2022/8/22 15:26:43]: 清理超时会话开始工作... 
[2022-08-22 15:26:43.3134] | Debug | [2022/8/22 15:26:43]: 清理超时会话工作完成... 
[2022-08-22 15:27:03.3193] | Debug | [2022/8/22 15:27:03]: 清理超时会话开始工作... 
[2022-08-22 15:27:03.3193] | Debug | [2022/8/22 15:27:03]: 清理超时会话工作完成... 
[2022-08-22 15:27:18.3266] | Info | [2022/8/22 15:27:18]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]断开链接. 
[2022-08-22 15:27:25.0268] | Info | [2022/8/22 15:27:25]: 配置信息加载完成... 
[2022-08-22 15:27:25.0422] | Info | [2022/8/22 15:27:25]: 服务已启动成功... 
[2022-08-22 15:27:25.0422] | Info | [2022/8/22 15:27:25]: 欢迎使用翎风系列游戏软件... 
[2022-08-22 15:27:25.0422] | Info | [2022/8/22 15:27:25]: 网站:http://www.gameofmir.com 
[2022-08-22 15:27:25.0422] | Info | [2022/8/22 15:27:25]: 论坛:http://bbs.gameofmir.com 
[2022-08-22 15:27:25.0422] | Info | [2022/8/22 15:27:25]: 智能反外挂程序已启动... 
[2022-08-22 15:27:25.0422] | Info | [2022/8/22 15:27:25]: 智能反外挂程序云端已连接... 
[2022-08-22 15:27:25.0552] | Info | [2022/8/22 15:27:25]: 网关[10.10.0.102:7200]已启动... 
[2022-08-22 15:27:25.0552] | Info | [2022/8/22 15:27:25]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-22 15:27:25.0552] | Debug | [2022/8/22 15:27:25]: 线程[cfa6adf4b3c44bbc9edb8aeb209c6564]连接 10.10.0.102:5000 成功... 
[2022-08-22 15:27:25.0662] | Debug | [2022/8/22 15:27:25]: 消息消费线程[431e6c7f493646f096db0e3c052e6887]已启动. 
[2022-08-22 15:27:25.0662] | Debug | [2022/8/22 15:27:25]: 消息消费线程[01df8702ae1f460daea05b1e93656d70]已启动. 
[2022-08-22 15:27:34.8575] | Info | [2022/8/22 15:27:34]: 配置信息加载完成... 
[2022-08-22 15:27:34.8737] | Info | [2022/8/22 15:27:34]: 服务已启动成功... 
[2022-08-22 15:27:34.8737] | Info | [2022/8/22 15:27:34]: 欢迎使用翎风系列游戏软件... 
[2022-08-22 15:27:34.8742] | Info | [2022/8/22 15:27:34]: 网站:http://www.gameofmir.com 
[2022-08-22 15:27:34.8742] | Info | [2022/8/22 15:27:34]: 论坛:http://bbs.gameofmir.com 
[2022-08-22 15:27:34.8742] | Info | [2022/8/22 15:27:34]: 智能反外挂程序已启动... 
[2022-08-22 15:27:34.8742] | Info | [2022/8/22 15:27:34]: 智能反外挂程序云端已连接... 
[2022-08-22 15:27:34.8969] | Info | [2022/8/22 15:27:34]: 网关[10.10.0.102:7200]已启动... 
