[2022-08-17 11:58:47.3843] | Info | 正在启动服务器... 
[2022-08-17 11:58:47.4003] | Info | 正在等待服务器连接... 
[2022-08-17 11:58:47.4104] | Info | 正在连接SQL服务器... 
[2022-08-17 11:58:47.5853] | Info | 连接SQL服务器成功... 
[2022-08-17 11:58:47.6893] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-17 11:58:47.7200] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-17 12:03:57.1826] | Info | 正在启动服务器... 
[2022-08-17 12:03:57.2393] | Info | 正在等待服务器连接... 
[2022-08-17 12:03:57.2848] | Info | 正在连接SQL服务器... 
[2022-08-17 12:03:57.7154] | Info | 连接SQL服务器成功... 
[2022-08-17 12:03:57.8558] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-17 12:03:57.8882] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-17 12:04:01.8498] | Info | 登录网关[10.10.0.102:51545]已链接. 
[2022-08-17 12:05:09.9738] | Info | 正在启动服务器... 
[2022-08-17 12:05:10.0038] | Info | 正在等待服务器连接... 
[2022-08-17 12:05:10.0385] | Info | 正在连接SQL服务器... 
[2022-08-17 12:05:10.3973] | Info | 连接SQL服务器成功... 
[2022-08-17 12:05:10.5126] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-17 12:05:10.5601] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-17 12:05:13.2671] | Info | 登录网关[10.10.0.102:51595]已链接. 
[2022-08-17 12:07:24.4726] | Info | 正在启动服务器... 
[2022-08-17 12:07:24.5012] | Info | 正在等待服务器连接... 
[2022-08-17 12:07:24.5357] | Info | 正在连接SQL服务器... 
[2022-08-17 12:07:24.8583] | Info | 连接SQL服务器成功... 
[2022-08-17 12:07:24.9671] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-17 12:07:24.9982] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-17 12:07:53.2107] | Info | 正在启动服务器... 
[2022-08-17 12:07:53.2414] | Info | 正在等待服务器连接... 
[2022-08-17 12:07:53.2800] | Info | 正在连接SQL服务器... 
[2022-08-17 12:07:53.6567] | Info | 连接SQL服务器成功... 
[2022-08-17 12:07:53.7736] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-17 12:07:53.8065] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-17 12:08:18.5051] | Info | 登录网关[10.10.0.102:51631]已链接. 
[2022-08-17 12:09:09.8354] | Info | 正在启动服务器... 
[2022-08-17 12:09:09.8510] | Info | 正在等待服务器连接... 
[2022-08-17 12:09:09.8612] | Info | 正在连接SQL服务器... 
[2022-08-17 12:09:10.0289] | Info | 连接SQL服务器成功... 
[2022-08-17 12:09:10.1327] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-17 12:09:10.1625] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-17 12:09:22.9505] | Info | []游戏服务器[10.10.0.102:51659]断开链接. 
[2022-08-17 12:11:18.7196] | Info | 登录网关[10.10.0.102:51691]已链接. 
[2022-08-17 12:12:54.7355] | Info | [热血传奇]游戏服务器[10.10.0.102:51710]断开链接. 
[2022-08-17 12:13:11.3349] | Info | 正在启动服务器... 
[2022-08-17 12:13:11.3515] | Info | 正在等待服务器连接... 
[2022-08-17 12:13:11.3607] | Info | 正在连接SQL服务器... 
[2022-08-17 12:13:11.5359] | Info | 连接SQL服务器成功... 
[2022-08-17 12:13:11.6417] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-17 12:13:11.6708] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-17 12:13:11.9004] | Info | 登录网关[10.10.0.102:51723]已链接. 
[2022-08-17 12:13:43.7697] | Info | [鐑浼犲]数据库服务器[10.10.0.102:51718]断开链接. 
[2022-08-17 12:14:43.3555] | Info | 正在启动服务器... 
[2022-08-17 12:14:43.3720] | Info | 正在等待服务器连接... 
[2022-08-17 12:14:43.3823] | Info | 正在连接SQL服务器... 
[2022-08-17 12:14:43.5612] | Info | 连接SQL服务器成功... 
[2022-08-17 12:14:43.6661] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-17 12:14:43.7176] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-17 12:14:48.5681] | Info | 登录网关[10.10.0.102:51782]已链接. 
[2022-08-17 13:27:53.0107] | Info | 正在启动服务器... 
[2022-08-17 13:27:53.0299] | Info | 正在等待服务器连接... 
[2022-08-17 13:27:53.0408] | Info | 正在连接SQL服务器... 
[2022-08-17 13:27:53.2572] | Info | 连接SQL服务器成功... 
[2022-08-17 13:27:53.3719] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-17 13:27:53.4286] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-17 13:27:53.4576] | Info | 登录网关[10.10.0.102:56647]已链接. 
[2022-08-17 14:43:45.9541] | Info | [热血传奇]数据库服务器[10.10.0.102:56648]断开链接. 
