[2022-08-23 13:34:45.1724] | Info | 正在启动服务器... 
[2022-08-23 13:34:45.2402] | Info | 正在等待服务器连接... 
[2022-08-23 13:34:45.3148] | Info | 正在连接SQL服务器... 
[2022-08-23 13:34:45.6045] | Info | 连接SQL服务器成功... 
[2022-08-23 13:34:45.7323] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-23 13:34:45.7753] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-23 13:34:51.2904] | Info | 正在启动服务器... 
[2022-08-23 13:34:51.3122] | Info | 正在等待服务器连接... 
[2022-08-23 13:34:51.3161] | Info | 正在连接SQL服务器... 
[2022-08-23 13:34:51.5293] | Info | 连接SQL服务器成功... 
[2022-08-23 13:34:51.6550] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-23 13:34:51.6718] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-23 13:34:55.6592] | Info | 登录网关[10.10.0.102:54450]已链接. 
[2022-08-23 13:34:55.6662] | Info | 登录网关[10.10.0.102:54450]断开链接. 
[2022-08-23 14:25:43.5023] | Info | 正在启动服务器... 
[2022-08-23 14:25:43.5276] | Info | 正在等待服务器连接... 
[2022-08-23 14:25:43.5627] | Info | 正在连接SQL服务器... 
[2022-08-23 14:25:43.8126] | Info | 连接SQL服务器成功... 
[2022-08-23 14:25:43.9393] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-23 14:25:44.0029] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-23 14:25:46.9148] | Info | 登录网关[10.10.0.102:54624]已链接. 
[2022-08-23 14:25:46.9176] | Info | 登录网关[10.10.0.102:54624]断开链接. 
[2022-08-23 14:26:15.1218] | Info | 登录网关[10.10.0.102:54631]已链接. 
[2022-08-23 14:26:16.1105] | Info | 登录网关[10.10.0.102:54631]断开链接. 
[2022-08-23 14:27:53.8267] | Info | 正在启动服务器... 
[2022-08-23 14:27:53.8544] | Info | 正在等待服务器连接... 
[2022-08-23 14:27:53.8842] | Info | 正在连接SQL服务器... 
[2022-08-23 14:27:54.1040] | Info | 连接SQL服务器成功... 
[2022-08-23 14:27:54.2363] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-23 14:27:54.2722] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-23 14:27:59.0434] | Info | 登录网关[10.10.0.102:54699]已链接. 
[2022-08-23 14:28:00.2558] | Info | 登录网关[10.10.0.102:54699]断开链接. 
[2022-08-23 14:29:25.0434] | Info | 正在启动服务器... 
[2022-08-23 14:29:25.0684] | Info | 正在等待服务器连接... 
[2022-08-23 14:29:25.1137] | Info | 正在连接SQL服务器... 
[2022-08-23 14:29:25.3362] | Info | 连接SQL服务器成功... 
[2022-08-23 14:29:25.4664] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-23 14:29:25.4905] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-23 14:29:32.5871] | Info | 登录网关[10.10.0.102:54861]已链接. 
[2022-08-23 14:29:37.9552] | Info | 登录网关[10.10.0.102:54861]断开链接. 
[2022-08-23 14:30:44.6433] | Info | 正在启动服务器... 
[2022-08-23 14:30:44.6714] | Info | 正在等待服务器连接... 
[2022-08-23 14:30:44.6770] | Info | 正在连接SQL服务器... 
[2022-08-23 14:30:44.9355] | Info | 连接SQL服务器成功... 
