[2022-08-19 16:27:36.9837] | Info | 正在启动服务器... 
[2022-08-19 16:27:37.0166] | Info | 正在等待服务器连接... 
[2022-08-19 16:27:37.1580] | Info | 正在连接SQL服务器... 
[2022-08-19 16:27:37.3483] | Info | 连接SQL服务器成功... 
[2022-08-19 16:27:37.4485] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-19 16:27:37.4936] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-19 16:27:37.5414] | Info | 登录网关[10.10.0.102:61357]已链接. 
[2022-08-19 16:27:42.2808] | Info | [10.10.0.102:61357]断开链接. 
[2022-08-19 16:27:43.8733] | Info | 登录网关[10.10.0.102:61364]已链接. 
[2022-08-19 16:27:43.8764] | Info | [10.10.0.102:61364]断开链接. 
[2022-08-19 16:27:58.4206] | Info | 登录网关[10.10.0.102:61377]已链接. 
[2022-08-19 16:27:58.4239] | Info | [10.10.0.102:61377]断开链接. 
[2022-08-19 16:28:57.0232] | Info | 登录网关[10.10.0.102:61408]已链接. 
[2022-08-19 16:28:57.0277] | Info | [10.10.0.102:61408]断开链接. 
[2022-08-19 16:29:31.9466] | Info | 正在启动服务器... 
[2022-08-19 16:29:31.9622] | Info | 正在等待服务器连接... 
[2022-08-19 16:29:31.9827] | Info | 正在连接SQL服务器... 
[2022-08-19 16:29:32.1735] | Info | 连接SQL服务器成功... 
[2022-08-19 16:29:32.2879] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-19 16:29:32.3405] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-19 16:29:33.9496] | Info | 登录网关[10.10.0.102:61425]已链接. 
[2022-08-19 16:29:33.9565] | Info | [10.10.0.102:61425]断开链接. 
[2022-08-19 16:31:31.9167] | Info | 正在启动服务器... 
[2022-08-19 16:31:31.9476] | Info | 正在等待服务器连接... 
[2022-08-19 16:31:32.0113] | Info | 正在连接SQL服务器... 
[2022-08-19 16:31:32.4261] | Info | 连接SQL服务器成功... 
[2022-08-19 16:31:32.5472] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-19 16:31:32.5809] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-19 16:31:36.7741] | Info | 登录网关[10.10.0.102:61491]已链接. 
[2022-08-19 16:31:39.1684] | Info | [10.10.0.102:61491]断开链接. 
[2022-08-19 16:32:10.3683] | Info | 正在启动服务器... 
[2022-08-19 16:32:10.3886] | Info | 正在等待服务器连接... 
[2022-08-19 16:32:10.4015] | Info | 正在连接SQL服务器... 
[2022-08-19 16:32:10.5938] | Info | 连接SQL服务器成功... 
[2022-08-19 16:32:10.6976] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-19 16:32:10.7484] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-19 16:32:26.1259] | Info | 登录网关[10.10.0.102:61532]已链接. 
[2022-08-19 16:32:26.1813] | Info | [10.10.0.102:61532]断开链接. 
[2022-08-19 16:33:28.9498] | Info | 登录网关[10.10.0.102:61571]已链接. 
[2022-08-19 16:33:29.0225] | Info | [10.10.0.102:61571]断开链接. 
[2022-08-19 16:34:37.6994] | Info | 登录网关[10.10.0.102:61614]已链接. 
[2022-08-19 16:34:37.7760] | Info | [10.10.0.102:61614]断开链接. 
[2022-08-19 16:35:39.3071] | Info | 登录网关[10.10.0.102:61650]已链接. 
[2022-08-19 16:35:40.0009] | Info | [10.10.0.102:61650]断开链接. 
[2022-08-19 16:35:57.9070] | Info | 登录网关[10.10.0.102:61676]已链接. 
[2022-08-19 16:36:17.1724] | Info | [10.10.0.102:61676]断开链接. 
[2022-08-19 16:36:19.3844] | Info | 登录网关[10.10.0.102:61685]已链接. 
[2022-08-19 16:36:19.3875] | Info | [10.10.0.102:61685]断开链接. 
[2022-08-19 16:36:50.4238] | Info | 登录网关[10.10.0.102:61707]已链接. 
[2022-08-19 16:36:50.5266] | Info | [10.10.0.102:61707]断开链接. 
[2022-08-19 16:36:59.0306] | Info | 登录网关[10.10.0.102:61723]已链接. 
[2022-08-19 16:36:59.1286] | Info | [10.10.0.102:61723]断开链接. 
[2022-08-19 16:39:13.5672] | Info | 登录网关[10.10.0.102:61803]已链接. 
[2022-08-19 16:39:13.7091] | Info | [10.10.0.102:61803]断开链接. 
[2022-08-19 16:39:34.2812] | Info | 登录网关[10.10.0.102:61817]已链接. 
[2022-08-19 16:39:34.3792] | Info | [10.10.0.102:61817]断开链接. 
