[2022-08-30 17:27:01.3282] | Info | 正在启动服务器... 
[2022-08-30 17:27:01.3517] | Info | 正在等待服务器连接... 
[2022-08-30 17:27:01.3928] | Info | 正在连接SQL服务器... 
[2022-08-30 17:27:01.6193] | Info | 连接SQL服务器成功... 
[2022-08-30 17:27:01.7644] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-30 17:27:01.7880] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-30 17:27:04.1854] | Info | 登录网关[10.10.0.102:62823]已链接. 
[2022-08-30 18:07:50.7477] | Info | 正在启动服务器... 
[2022-08-30 18:07:50.7717] | Info | 正在等待服务器连接... 
[2022-08-30 18:07:50.7910] | Info | 正在连接SQL服务器... 
[2022-08-30 18:07:51.0011] | Info | 连接SQL服务器成功... 
[2022-08-30 18:07:51.1426] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-30 18:07:51.1677] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-30 18:07:54.7875] | Info | 登录网关[10.10.0.102:64073]已链接. 
[2022-08-30 18:12:51.8460] | Info | [热血传奇]游戏服务器[10.10.0.102:64080]断开链接. 
[2022-08-30 18:14:53.3615] | Info | [热血传奇]游戏服务器[10.10.0.102:64235]断开链接. 
[2022-08-30 18:15:56.8996] | Info | 正在启动服务器... 
[2022-08-30 18:15:56.9165] | Info | 正在等待服务器连接... 
[2022-08-30 18:15:56.9276] | Info | 正在连接SQL服务器... 
[2022-08-30 18:15:57.1107] | Info | 连接SQL服务器成功... 
[2022-08-30 18:15:57.2416] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-30 18:15:57.2628] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-30 18:15:59.2743] | Info | [热血传奇]数据库服务器[10.10.0.102:64335]断开链接. 
[2022-08-30 18:16:10.9928] | Info | 正在启动服务器... 
[2022-08-30 18:16:11.0162] | Info | 正在等待服务器连接... 
[2022-08-30 18:16:11.0204] | Info | 正在连接SQL服务器... 
[2022-08-30 18:16:11.2243] | Info | 连接SQL服务器成功... 
[2022-08-30 18:16:11.3615] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-30 18:16:11.3790] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-30 18:16:14.6344] | Info | 登录网关[10.10.0.102:64362]已链接. 
[2022-08-30 18:17:54.1756] | Info | [热血传奇]游戏服务器[10.10.0.102:64369]断开链接. 
[2022-08-30 18:23:47.3337] | Info | [热血传奇]游戏服务器[10.10.0.102:64427]断开链接. 
[2022-08-30 18:28:41.6867] | Info | 正在启动服务器... 
[2022-08-30 18:28:41.7163] | Info | 正在等待服务器连接... 
[2022-08-30 18:28:41.7213] | Info | 正在连接SQL服务器... 
[2022-08-30 18:28:41.9227] | Info | 连接SQL服务器成功... 
[2022-08-30 18:28:42.0539] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-30 18:28:42.0716] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-30 18:28:45.9529] | Info | 登录网关[10.10.0.102:64798]已链接. 
[2022-08-30 18:48:08.8715] | Info | 正在启动服务器... 
[2022-08-30 18:48:08.8947] | Info | 正在等待服务器连接... 
[2022-08-30 18:48:08.8990] | Info | 正在连接SQL服务器... 
[2022-08-30 18:48:09.1039] | Info | 连接SQL服务器成功... 
[2022-08-30 18:48:09.2363] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-30 18:48:09.2535] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-30 18:48:11.8845] | Info | 登录网关[10.10.0.102:65456]已链接. 
[2022-08-30 19:02:20.9970] | Info | 正在启动服务器... 
[2022-08-30 19:02:21.0216] | Info | 正在等待服务器连接... 
[2022-08-30 19:02:21.0260] | Info | 正在连接SQL服务器... 
[2022-08-30 19:02:21.2311] | Info | 连接SQL服务器成功... 
[2022-08-30 19:02:21.3818] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-30 19:02:21.4046] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-30 19:02:24.9425] | Info | 登录网关[10.10.0.102:49511]已链接. 
[2022-08-30 19:06:56.0261] | Info | [热血传奇]游戏服务器[10.10.0.102:49523]断开链接. 
