[2022-08-22 15:19:18.3628] | Info | 正在启动服务... 
[2022-08-22 15:19:18.3943] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-22 15:19:18.3943] | Info | 网站:http://www.gameofmir.com 
[2022-08-22 15:19:18.3952] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-22 15:19:18.4303] | Info | 登录网关[127.0.0.1:7000]已启动... 
[2022-08-22 15:19:18.4393] | Info | 账号服务器[]断开链接. 
[2022-08-22 15:21:20.0452] | Info | 正在启动服务... 
[2022-08-22 15:21:20.0644] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-22 15:21:20.0644] | Info | 网站:http://www.gameofmir.com 
[2022-08-22 15:21:20.0644] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-22 15:21:20.1037] | Info | 登录网关[127.0.0.1:7000]已启动... 
[2022-08-22 15:21:20.1086] | Info | 账号服务器[]链接成功. 
[2022-08-22 15:21:20.1095] | Info | 账号服务器[10.10.0.102:5500]断开链接. 
[2022-08-22 15:25:14.2280] | Info | 正在启动服务... 
[2022-08-22 15:25:14.2515] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-22 15:25:14.2515] | Info | 网站:http://www.gameofmir.com 
[2022-08-22 15:25:14.2515] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-22 15:25:14.2877] | Info | 登录网关[127.0.0.1:7000]已启动... 
[2022-08-22 15:25:14.2924] | Info | 账号服务器[10.10.0.102:5500]链接成功. 
[2022-08-22 15:25:14.2933] | Info | 账号服务器[10.10.0.102:5500]断开链接. 
[2022-08-22 15:26:47.2446] | Info | 正在启动服务... 
[2022-08-22 15:26:47.2872] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-22 15:26:47.2872] | Info | 网站:http://www.gameofmir.com 
[2022-08-22 15:26:47.2872] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-22 15:26:47.3289] | Info | 登录网关[127.0.0.1:7000]已启动... 
[2022-08-22 15:26:47.3336] | Info | 账号服务器[]链接成功. 
[2022-08-22 15:26:47.3345] | Info | 账号服务器[10.10.0.102:5500]断开链接. 
