[2022-08-30 17:27:13.9788] | Info | 安全区光圈初始化成功... 
[2022-08-30 17:27:13.9793] | Info | 人物数据引擎启动成功... 
[2022-08-30 17:27:14.1007] | Info | 游戏处理引擎初始化成功... 
[2022-08-30 17:27:14.1007] | Info | 引擎版本: 1.00 Build 20161001 
[2022-08-30 17:27:14.1007] | Info | 更新日期: 2016/10/01 
[2022-08-30 18:07:57.5860] | Info | 正在读取配置信息... 
[2022-08-30 18:07:57.8384] | Info | 读取配置信息完成... 
[2022-08-30 18:07:57.8421] | Info | 正在加载物品数据库... 
[2022-08-30 18:07:58.0707] | Info | 物品数据库加载成功(1000)... 
[2022-08-30 18:07:58.0707] | Info | 正在加载数据图文件... 
[2022-08-30 18:07:58.0920] | Info | 小地图数据加载成功... 
[2022-08-30 18:07:58.0920] | Info | 正在加载地图数据... 
[2022-08-30 18:08:02.7465] | Info | 地图数据加载成功(322)... 
[2022-08-30 18:08:02.7465] | Info | 正在加载怪物数据库... 
[2022-08-30 18:08:02.8606] | Info | 加载怪物数据库成功(705)... 
[2022-08-30 18:08:02.8606] | Info | 正在加载技能数据库... 
[2022-08-30 18:08:02.8677] | Info | 加载技能数据库成功(206)... 
[2022-08-30 18:08:02.8677] | Info | 正在加载怪物刷新配置信息... 
[2022-08-30 18:08:02.8869] | Info | 加载怪物刷新配置信息成功(2828)... 
[2022-08-30 18:08:02.8869] | Info | 正加载怪物说话配置信息... 
[2022-08-30 18:08:02.8877] | Info | 加载怪物说话配置信息成功(0)... 
[2022-08-30 18:08:02.8912] | Info | 正在加载捆装物品信息... 
[2022-08-30 18:08:02.8918] | Info | 加载捆装物品信息成功... 
[2022-08-30 18:08:02.8918] | Info | 加载物品寄售系统... 
[2022-08-30 18:08:02.8950] | Info | 正在加载任务地图信息... 
[2022-08-30 18:08:02.8972] | Info | 加载任务地图信息成功... 
[2022-08-30 18:08:02.8972] | Info | 正在加载任务说明信息... 
[2022-08-30 18:08:02.8981] | Info | 加载任务说明信息成功... 
