[2022-08-30 17:26:57.2840] | Info | 正在启动服务... 
[2022-08-30 17:26:57.4199] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-30 17:26:57.4205] | Info | 网站:http://www.gameofmir.com 
[2022-08-30 17:26:57.4205] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-30 17:26:57.4235] | Debug | Cleanup timeout session... 
[2022-08-30 17:26:57.4235] | Info | 数据库服务器[10.10.0.102:5100]链接成功. 
[2022-08-30 17:26:57.4235] | Debug | 线程[39a98c7024254e49b1b3cd01e975591d]连接 10.10.0.102:5100 成功... 
[2022-08-30 17:26:57.4264] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:26:57.4324] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:27:07.4256] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:27:07.4265] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:27:17.4252] | Debug | Cleanup timeout session... 
[2022-08-30 17:27:17.4272] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:27:17.4276] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:27:27.4278] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:27:27.4278] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:27:37.4255] | Debug | Cleanup timeout session... 
[2022-08-30 17:27:37.4294] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:27:37.4294] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:27:47.4306] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:27:47.4306] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:27:57.4264] | Debug | Cleanup timeout session... 
[2022-08-30 17:27:57.4325] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:27:57.4325] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:28:03.9780] | Debug | 用户[10.10.0.109]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-30 17:28:03.9794] | Debug | [UserEnter] %K47cbaf2de7954ab5a96eb1b64c1e4ad6/10.10.0.109/10.10.0.109$ 
[2022-08-30 17:28:07.4344] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:28:07.4344] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:28:10.8921] | Debug | [UserLeave] %L47cbaf2de7954ab5a96eb1b64c1e4ad6$ 
[2022-08-30 17:28:17.4285] | Debug | Cleanup timeout session... 
[2022-08-30 17:28:17.4362] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:28:17.4368] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:28:27.4369] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:28:27.4374] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:28:37.4294] | Debug | Cleanup timeout session... 
[2022-08-30 17:28:37.4382] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:28:37.4386] | Debug | DBSvr Heartbeat Response 
[2022-08-30 17:28:47.4390] | Debug | Send DBSvr Heartbeat. 
[2022-08-30 17:28:47.4396] | Debug | DBSvr Heartbeat Response 
