[2022-08-24 15:35:51.2791] | Info | 正在启动服务... 
[2022-08-24 15:35:51.3762] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-24 15:35:51.3762] | Info | 网站:http://www.gameofmir.com 
[2022-08-24 15:35:51.3762] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-24 15:35:51.3796] | Info | 数据库服务器[10.10.0.102:5100]链接成功. 
[2022-08-24 15:35:51.3801] | Debug | 线程[6dc712f3506e41b2965caa685158cd06]连接 10.10.0.102:5100 成功... 
[2022-08-24 15:35:51.3801] | Debug | Cleanup timeout session... 
[2022-08-24 15:35:51.3834] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:35:51.4328] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:36:01.3829] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:36:01.3836] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:36:11.3818] | Debug | Cleanup timeout session... 
[2022-08-24 15:36:11.3932] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:36:11.3940] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:36:21.3948] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:36:21.3956] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:36:31.3832] | Debug | Cleanup timeout session... 
[2022-08-24 15:36:31.3958] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:36:31.3963] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:36:41.3973] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:36:41.3973] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:36:51.3846] | Debug | Cleanup timeout session... 
[2022-08-24 15:36:51.3983] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:36:51.3983] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:37:01.4002] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:37:01.4002] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:37:11.3858] | Debug | Cleanup timeout session... 
[2022-08-24 15:37:11.4023] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:37:11.4031] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:37:21.4043] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:37:21.4043] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:37:31.3870] | Debug | Cleanup timeout session... 
[2022-08-24 15:37:31.4060] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:37:31.4066] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:37:41.4069] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:37:41.4074] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:37:51.3873] | Debug | Cleanup timeout session... 
[2022-08-24 15:37:51.4072] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:37:51.4072] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:38:01.4082] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:38:01.4082] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:38:11.3880] | Debug | Cleanup timeout session... 
[2022-08-24 15:38:11.4092] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:38:11.4092] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:38:21.4103] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:38:21.4110] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:38:31.3896] | Debug | Cleanup timeout session... 
[2022-08-24 15:38:31.4112] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:38:31.4112] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:38:41.4132] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:38:41.4132] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:38:51.3904] | Debug | Cleanup timeout session... 
[2022-08-24 15:38:51.4144] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:38:51.4144] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:39:01.4159] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:39:01.4164] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:39:11.3913] | Debug | Cleanup timeout session... 
[2022-08-24 15:39:11.4170] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:39:11.4175] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:39:21.4178] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:39:21.4182] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:39:31.3923] | Debug | Cleanup timeout session... 
[2022-08-24 15:39:31.4190] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:39:31.4194] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:39:41.4197] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:39:41.4227] | Debug | DBSvr Heartbeat Response 
[2022-08-24 15:39:51.3939] | Debug | Cleanup timeout session... 
[2022-08-24 15:39:51.4206] | Debug | Send DBSvr Heartbeat. 
[2022-08-24 15:39:51.4206] | Debug | DBSvr Heartbeat Response 
