[2022-08-23 14:43:56.9950] | Info | 正在启动服务... 
[2022-08-23 14:43:57.0849] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-23 14:43:57.0853] | Info | 网站:http://www.gameofmir.com 
[2022-08-23 14:43:57.0853] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-23 14:43:57.0887] | Debug | Cleanup timeout session... 
[2022-08-23 14:43:57.0887] | Info | 数据库服务器[10.10.0.102:5100]链接成功. 
[2022-08-23 14:43:57.0887] | Debug | 线程[ab7486a5b0594c72b69560909bdbacfd]连接 10.10.0.102:5100 成功... 
[2022-08-23 14:43:57.0909] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:43:57.0951] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:44:07.0909] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:44:07.0917] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:44:17.0899] | Debug | Cleanup timeout session... 
[2022-08-23 14:44:17.0924] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:44:17.0924] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:44:27.1010] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:44:27.1023] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:44:37.0914] | Debug | Cleanup timeout session... 
[2022-08-23 14:44:37.1008] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:44:37.1015] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:44:47.1016] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:44:47.1016] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:44:57.0934] | Debug | Cleanup timeout session... 
[2022-08-23 14:44:57.1026] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:44:57.1026] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:45:07.1037] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:45:07.1043] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:45:17.0950] | Debug | Cleanup timeout session... 
[2022-08-23 14:45:17.1045] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:45:17.1045] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:45:27.1057] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:45:27.1057] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:45:37.0963] | Debug | Cleanup timeout session... 
[2022-08-23 14:45:37.1073] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:45:37.1078] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:45:47.1084] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:45:47.1084] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:45:57.0979] | Debug | Cleanup timeout session... 
[2022-08-23 14:45:57.1103] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:45:57.1126] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:46:07.1115] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:46:07.1115] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:46:17.0991] | Debug | Cleanup timeout session... 
[2022-08-23 14:46:17.1130] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:46:17.1134] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:46:27.1146] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:46:27.1146] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:46:37.0997] | Debug | Cleanup timeout session... 
[2022-08-23 14:46:37.1159] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:46:37.1163] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:46:47.1171] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:46:47.1175] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:46:57.1012] | Debug | Cleanup timeout session... 
[2022-08-23 14:46:57.1174] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:46:57.1174] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:47:07.1188] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:47:07.1188] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:47:17.1025] | Debug | Cleanup timeout session... 
[2022-08-23 14:47:17.1198] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:47:17.1203] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:47:27.1209] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:47:27.1209] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:47:37.1033] | Debug | Cleanup timeout session... 
[2022-08-23 14:47:37.1223] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:47:37.1228] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:47:47.1230] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:47:47.1234] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:47:57.1053] | Debug | Cleanup timeout session... 
[2022-08-23 14:47:57.1238] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:47:57.1244] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:48:07.1247] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:48:07.1247] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:48:17.1068] | Debug | Cleanup timeout session... 
[2022-08-23 14:48:17.1258] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:48:17.1264] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:48:27.1268] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:48:27.1268] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:48:37.1078] | Debug | Cleanup timeout session... 
[2022-08-23 14:48:37.1275] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:48:37.1275] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:48:47.1285] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:48:47.1285] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:48:57.1085] | Debug | Cleanup timeout session... 
[2022-08-23 14:48:57.1301] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:48:57.1305] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:49:07.1313] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:49:07.1316] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:49:17.1104] | Debug | Cleanup timeout session... 
[2022-08-23 14:49:17.1317] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:49:17.1317] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:49:27.1331] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:49:27.1335] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:49:37.1125] | Debug | Cleanup timeout session... 
[2022-08-23 14:49:37.1344] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:49:37.1344] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:49:47.1365] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:49:47.1365] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:49:57.1145] | Debug | Cleanup timeout session... 
[2022-08-23 14:49:57.1384] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:49:57.1384] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:50:07.1389] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:50:07.1389] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:50:17.1166] | Debug | Cleanup timeout session... 
[2022-08-23 14:50:17.1397] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:50:17.1397] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:50:27.1412] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:50:27.1415] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:50:37.1177] | Debug | Cleanup timeout session... 
[2022-08-23 14:50:37.1415] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:50:37.1415] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:50:47.1429] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:50:47.1429] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:50:57.1191] | Debug | Cleanup timeout session... 
[2022-08-23 14:50:57.1440] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:50:57.1444] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:51:07.1452] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:51:07.1455] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:51:17.1195] | Debug | Cleanup timeout session... 
[2022-08-23 14:51:17.1466] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:51:17.1466] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:51:27.1483] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:51:27.1488] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:51:37.1210] | Debug | Cleanup timeout session... 
[2022-08-23 14:51:37.1496] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:51:37.1496] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:51:47.1513] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:51:47.1516] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:51:57.1219] | Debug | Cleanup timeout session... 
[2022-08-23 14:51:57.1520] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:51:57.1524] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:52:07.1527] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:52:07.1527] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:52:17.1232] | Debug | Cleanup timeout session... 
[2022-08-23 14:52:17.1537] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:52:17.1537] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:52:27.1548] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:52:27.1548] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:52:37.1245] | Debug | Cleanup timeout session... 
[2022-08-23 14:52:37.1558] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:52:37.1558] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:52:47.1569] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:52:47.1569] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:52:57.1262] | Debug | Cleanup timeout session... 
[2022-08-23 14:52:57.1583] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:52:57.1583] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:53:07.1586] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:53:07.1586] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:53:17.1270] | Debug | Cleanup timeout session... 
[2022-08-23 14:53:17.1599] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:53:17.1599] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:53:27.1605] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:53:27.1605] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:53:37.1275] | Debug | Cleanup timeout session... 
[2022-08-23 14:53:37.1622] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:53:37.1625] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:53:47.1631] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:53:47.1634] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:53:57.1285] | Debug | Cleanup timeout session... 
[2022-08-23 14:53:57.1645] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:53:57.1645] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:54:07.1655] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:54:07.1655] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:54:17.1303] | Debug | Cleanup timeout session... 
[2022-08-23 14:54:17.1671] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:54:17.1674] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:54:27.1676] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:54:27.1676] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:54:37.1312] | Debug | Cleanup timeout session... 
[2022-08-23 14:54:37.1686] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:54:37.1686] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:54:47.1705] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:54:47.1705] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:54:57.1323] | Debug | Cleanup timeout session... 
[2022-08-23 14:54:57.1719] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:54:57.1719] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:55:07.1731] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:55:07.1735] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:55:17.1326] | Debug | Cleanup timeout session... 
[2022-08-23 14:55:17.1745] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:55:17.1745] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:55:27.1759] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:55:27.1759] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:55:37.1341] | Debug | Cleanup timeout session... 
[2022-08-23 14:55:37.1766] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:55:37.1766] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:55:47.1781] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:55:47.1787] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:55:57.1343] | Debug | Cleanup timeout session... 
[2022-08-23 14:55:57.1788] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:55:57.1788] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:56:07.1803] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:56:07.1806] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:56:17.1355] | Debug | Cleanup timeout session... 
[2022-08-23 14:56:17.1806] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:56:17.1806] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:56:27.1821] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:56:27.1823] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:56:37.1365] | Debug | Cleanup timeout session... 
[2022-08-23 14:56:37.1827] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:56:37.1827] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:56:47.1834] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:56:47.1834] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:56:57.1375] | Debug | Cleanup timeout session... 
[2022-08-23 14:56:57.1853] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:56:57.1853] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:57:07.1858] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:57:07.1858] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:57:17.1390] | Debug | Cleanup timeout session... 
[2022-08-23 14:57:17.1874] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:57:17.1874] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:57:27.1893] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:57:27.1896] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:57:37.1397] | Debug | Cleanup timeout session... 
[2022-08-23 14:57:37.1897] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:57:37.1897] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:57:47.1911] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:57:47.1914] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:57:57.1412] | Debug | Cleanup timeout session... 
[2022-08-23 14:57:57.1917] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:57:57.1917] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:58:07.1926] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:58:07.1926] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:58:17.1415] | Debug | Cleanup timeout session... 
[2022-08-23 14:58:17.1941] | Debug | Send DBSvr Heartbeat. 
[2022-08-23 14:58:17.1944] | Debug | DBSvr Heartbeat Response 
[2022-08-23 14:58:27.1947] | Debug | Send DBSvr Heartbeat. 
