[2022-08-22 15:20:59.2151] | Info | 正在启动服务... 
[2022-08-22 15:20:59.3490] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-22 15:20:59.3495] | Info | 网站:http://www.gameofmir.com 
[2022-08-22 15:20:59.3495] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-22 15:20:59.3528] | Info | 数据库服务器[10.10.0.102:5100]链接成功. 
[2022-08-22 15:20:59.3528] | Debug | Cleanup timeout session... 
[2022-08-22 15:20:59.3528] | Debug | 线程[9d3c5083ebef400d882d54cda9738c56]连接 10.10.0.102:5100 成功... 
[2022-08-22 15:20:59.3549] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:20:59.3596] | Debug | DBSvr Heartbeat Response 
[2022-08-22 15:21:09.3548] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:21:09.3555] | Debug | DBSvr Heartbeat Response 
[2022-08-22 15:21:19.3532] | Debug | Cleanup timeout session... 
[2022-08-22 15:21:19.3562] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:21:19.3562] | Debug | DBSvr Heartbeat Response 
[2022-08-22 15:21:29.3568] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:21:29.3572] | Debug | DBSvr Heartbeat Response 
[2022-08-22 15:21:39.3546] | Debug | Cleanup timeout session... 
[2022-08-22 15:21:39.3577] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:21:39.3582] | Debug | DBSvr Heartbeat Response 
[2022-08-22 15:21:49.3593] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:21:49.3593] | Debug | DBSvr Heartbeat Response 
[2022-08-22 15:21:59.3561] | Debug | Cleanup timeout session... 
[2022-08-22 15:21:59.3603] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:21:59.3603] | Debug | DBSvr Heartbeat Response 
[2022-08-22 15:22:09.3625] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:22:09.3625] | Debug | DBSvr Heartbeat Response 
[2022-08-22 15:22:19.3563] | Debug | Cleanup timeout session... 
[2022-08-22 15:22:19.3636] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:22:19.3636] | Debug | DBSvr Heartbeat Response 
[2022-08-22 15:22:29.3652] | Debug | Send DBSvr Heartbeat. 
[2022-08-22 15:22:29.3652] | Debug | DBSvr Heartbeat Response 
