[2022-08-18 14:24:29.6528] | Debug | DBSvr is starting. 
[2022-08-18 14:24:29.7754] | Info | 数据库配置文件读取完成... 
[2022-08-18 14:24:30.1665] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-18 14:24:30.2119] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-18 20:03:07.3563] | Debug | DBSvr is starting. 
[2022-08-18 20:03:07.4541] | Info | 数据库配置文件读取完成... 
[2022-08-18 20:03:07.4591] | Info | 读取网关配置信息.GameGateIP:[10.10.0.102:7200] 
[2022-08-18 20:03:07.4591] | Info | 读取网关配置信息成功.[1] 
[2022-08-18 20:03:07.6785] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-18 20:03:07.7175] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
