[2022-08-17 10:44:54.3957] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:44:54.7673] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:44:54.7702] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:44:54.8127] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:45:50.5615] | Debug | DBSvr is starting. 
[2022-08-17 10:45:50.6872] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:45:51.0685] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:45:51.0711] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:45:51.1145] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:45:53.4624] | Info | 角色网关[0](10.10.0.102:50667)已打开... 
[2022-08-17 10:54:14.0389] | Debug | DBSvr is starting. 
[2022-08-17 10:54:14.1342] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:54:14.3907] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:54:14.4357] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:54:17.8965] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:54:30.2106] | Info | 角色网关[0](10.10.0.102:50736)已打开... 
[2022-08-17 10:57:54.4045] | Info | 角色网关[0](10.10.0.102:50736)已关闭... 
[2022-08-17 11:01:38.1425] | Debug | DBSvr is starting. 
[2022-08-17 11:01:38.2618] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:01:38.5151] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:01:38.5634] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:01:40.4199] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:01:46.9556] | Info | 角色网关[0](10.10.0.102:50780)已打开... 
[2022-08-17 11:09:46.6695] | Debug | DBSvr is starting. 
[2022-08-17 11:09:46.7518] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:09:46.8538] | Info | 角色网关[0](10.10.0.102:50840)已打开... 
[2022-08-17 11:09:47.0002] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:09:47.0414] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:09:48.0519] | Info | 角色网关[0](10.10.0.102:50839)已打开... 
[2022-08-17 11:09:53.7047] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:09:53.7059] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:09:56.7019] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:09:56.7019] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
